Id,title,rating
0,The Hunger Games,4.33
1,Harry Potter and the Order of the Phoenix,4.48
2,To Kill a Mockingbird,4.27
3,Pride and Prejudice,4.25
4,Twilight,3.58
5,The Book Thief,4.36
6,The Chronicles of Narnia,4.25
7,Animal Farm,3.9
8,Gone with the Wind,4.29
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59
10,The Fault in Our Stars,4.24
11,The Hitchhiker's Guide to the Galaxy,4.21
12,The Giving Tree,4.37
13,Wuthering Heights,3.84
14,The Da Vinci Code,3.81
15,Memoirs of a Geisha,4.09
16,Alice's Adventures in Wonderland & Through the Looking-Glass,4.07
17,The Picture of Dorian Gray,4.06
18,Les Misérables,4.15
19,Divergent,4.22
20,Jane Eyre,4.11
21,Romeo and Juliet,3.74
22,Lord of the Flies,3.66
23,The Alchemist,3.84
24,Crime and Punishment,4.2
25,Ender's Game,4.3
26,The Perks of Being a Wallflower,4.2
27,City of Bones,4.11
28,The Help,4.46
29,The Great Gatsby,3.9
30,The Time Traveler's Wife,3.96
31,Charlotte's Web,4.16
32,Anne of Green Gables,4.24
33,Of Mice and Men,3.85
34,Dracula,3.98
35,Brave New World,3.98
36,One Hundred Years of Solitude,4.05
37,The Little Prince,4.29
38,The Princess Bride,4.26
39,The Secret Garden,4.12
40,The Catcher in the Rye,3.8
41,A Thousand Splendid Suns,4.35
42,A Wrinkle in Time,4.02
43,Fahrenheit 451,3.98
44,A Game of Thrones,4.45
45,The Lightning Thief,4.24
46,The Adventures of Huckleberry Finn,3.81
47,The Lovely Bones,3.79
48,Where the Wild Things Are,4.22
49,Green Eggs and Ham,4.3
50,Harry Potter and the Sorcerer's Stone,4.46
51,Life of Pi,3.89
52,A Tale of Two Cities,3.82
53,The Outsiders,4.08
54,Water for Elephants,4.08
55,The Odyssey,3.74
56,Lolita,3.89
57,Slaughterhouse-Five,4.07
58,Catch-22,3.98
59,Frankenstein,3.77
60,The Kite Runner,4.27
61,The Pillars of the Earth,4.3
62,The Stand,4.34
63,The Giver,4.12
64,Watership Down,4.06
65,The Handmaid's Tale,4.09
66,The Adventures of Sherlock Holmes,4.3
67,My Sister's Keeper,4.06
68,One Flew Over the Cuckoo's Nest,4.19
69,The Bell Jar,3.99
70,Outlander,4.22
71,The Girl with the Dragon Tattoo,4.13
72,Rebecca,4.21
73,A Tree Grows in Brooklyn,4.25
74,Matilda,4.29
75,The Color Purple,4.18
76,The Fellowship of the Ring,4.35
77,Little Women,4.05
78,The Road,3.96
79,Angela's Ashes,4.09
80,A Clockwork Orange,3.99
81,The Brothers Karamazov,4.32
82,Dune,4.21
83,Vampire Academy,4.13
84,The Poisonwood Bible,4.04
85,Siddhartha,4
86,Atlas Shrugged,3.68
87,Harry Potter and the Deathly Hallows,4.62
88,Don Quixote,3.86
89,The Golden Compass,3.96
90,Fahrenheit 451,3.98
91,The Notebook,4.07
92,The Old Man and the Sea,3.75
93,Great Expectations,3.76
94,The Complete Stories and Poems,4.37
95,A Prayer for Owen Meany,4.23
96,Winnie-the-Pooh,4.34
97,Anna Karenina,4.03
98,"Moby-Dick or, The Whale",3.48
99,Interview with the Vampire,3.98
100,1984,4.16
101,The Red Tent,4.16
102,The Secret Life of Bees,4.03
103,Harry Potter and the Prisoner of Azkaban,4.55
104,Clockwork Angel,4.33
105,Middlesex,3.99
106,Great Expectations,3.76
107,The Adventures of Tom Sawyer,3.9
108,The Stranger,3.97
109,And Then There Were None,4.25
110,The Master and Margarita,4.31
111,Charlie and the Chocolate Factory,4.12
112,Harry Potter and the Goblet of Fire,4.54
113,The Shining,4.19
114,On the Road,3.63
115,Eragon,3.88
116,The Very Hungry Caterpillar,4.29
117,Tuesdays with Morrie,4.08
118,Flowers for Algernon,4.09
119,The Shadow of the Wind,4.26
120,The Name of the Wind,4.55
121,Looking for Alaska,4.06
122,The Curious Incident of the Dog in the Night-Time,3.86
123,The Unbearable Lightness of Being,4.09
124,The Metamorphosis,3.8
125,The Name of the Rose,4.12
126,The Scarlet Letter,3.38
127,Harry Potter and the Half-Blood Prince,4.55
128,"Hush, Hush",3.99
129,The Five People You Meet in Heaven,3.91
130,The Godfather,4.37
131,In Cold Blood,4.06
132,Anna Karenina,4.03
133,Lonesome Dove,4.48
134,The Cat in the Hat,4.16
135,Fight Club,4.2
136,Holes,3.94
137,Dune,4.21
138,The Little House Collection,4.33
139,American Gods,4.11
140,Watchmen,4.35
141,The Divine Comedy,4.07
142,The Compleat Works of Wllm Shkspr (abridged),4.47
143,Peter Pan,4.09
144,Perfume: The Story of a Murderer,4.01
145,All Quiet on the Western Front,3.94
146,"The Lion, the Witch and the Wardrobe",4.2
147,Shadow Kiss,4.37
148,The Count of Monte Cristo,4.23
149,It,4.22
150,The Last Olympian,4.5
151,A Walk to Remember,4.16
152,Love in the Time of Cholera,3.9
153,Insurgent,4.06
154,The Thorn Birds,4.23
155,Harry Potter and the Chamber of Secrets,4.4
156,How the Grinch Stole Christmas!,4.36
157,Their Eyes Were Watching God,3.89
158,Atonement,3.89
159,The Importance of Being Earnest,4.17
160,The Ultimate Hitchhiker's Guide to the Galaxy,4.38
161,Frostbite,4.29
162,"Eat, Pray, Love",3.53
163,The Three Musketeers,4.07
164,The Wonderful Wizard of Oz,3.98
165,Goodnight Moon,4.27
166,The Lorax,4.35
167,Blood Promise,4.35
168,Where the Red Fern Grows,4.05
169,The Good Earth,3.98
170,Tess of the D'Urbervilles,3.78
171,A Midsummer Night's Dream,3.94
172,The Prophet,4.23
173,The Mists of Avalon,4.12
174,Heart of Darkness,3.42
175,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25
176,The Joy Luck Club,3.91
177,The Hobbit,4.26
178,The Battle of the Labyrinth,4.39
179,Jonathan Livingston Seagull,3.81
180,Alice in Wonderland,4.03
181,The Phantom Tollbooth,4.21
182,The Call of the Wild,3.84
183,Clockwork Princess,4.59
184,The Sea of Monsters,4.24
185,"Oh, The Places You'll Go!",4.35
186,Madame Bovary,3.66
187,The Girl Who Played with Fire,4.23
188,Bridge to Terabithia,3.98
189,The Titan's Curse,4.34
190,The Hunger Games Trilogy Boxset,4.48
191,Fifty Shades of Grey,3.66
192,Oliver Twist,3.85
193,The Clan of the Cave Bear,4.03
194,The Canterbury Tales,3.49
195,Ulysses,3.74
196,The Maze Runner,4.03
197,Treasure Island,3.83
198,The World According to Garp,4.08
199,The Neverending Story,4.18
200,A Farewell to Arms,3.79
201,David Copperfield,3.97
202,Wicked: The Life and Times of the Wicked Witch of the West,3.52
203,Thirteen Reasons Why,3.98
204,A Storm of Swords,4.54
205,Shōgun,4.38
206,The Other Boleyn Girl,4.05
207,Extremely Loud and Incredibly Close,3.97
208,Schindler's List,4.34
209,Last Sacrifice,4.41
210,Fallen,3.73
211,His Dark Materials,4.26
212,A Little Princess,4.19
213,A Confederacy of Dunces,3.89
214,The Sun Also Rises,3.82
215,The Secret Magdalene,4.21
216,Spirit Bound,4.36
217,Jurassic Park,3.99
218,The Boy in the Striped Pajamas,4.12
219,The Velveteen Rabbit,4.29
220,Beloved,3.79
221,The Silmarillion,3.9
222,Murder on the Orient Express,4.16
223,Cat's Cradle,4.17
224,The Crucible,3.56
225,Girl with a Pearl Earring,3.86
226,Shiver,3.77
227,A Light in the Attic,4.34
228,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.41
229,She's Come Undone,3.86
230,The Iliad/The Odyssey,4.03
231,The Trial,3.99
232,The Lost Hero,4.35
233,The Wind in the Willows,3.98
234,The Night Circus,4.04
235,The God of Small Things,3.93
236,The Screwtape Letters,4.21
237,Marley and Me: Life and Love With the World's Worst Dog,4.13
238,Clockwork Prince,4.45
239,The Silence of the Lambs,4.17
240,City of Fallen Angels,4.15
241,Uglies,3.86
242,The Selection,4.14
243,The Phantom of the Opera,3.97
244,Marked,3.79
245,Ella Enchanted,3.97
246,The Wind-Up Bird Chronicle,4.17
247,Man's Search for Meaning,4.35
248,The Sound and the Fury,3.86
249,The Shack,3.75
250,Fear and Loathing in Las Vegas,4.08
251,Blindness,4.1
252,Midnight Sun,4.02
253,Roots: The Saga of an American Family,4.43
254,A Clash of Kings,4.41
255,The Complete Calvin and Hobbes,4.82
256,Stranger in a Strange Land,3.91
257,Island of the Blue Dolphins,3.81
258,Throne of Glass,4.22
259,For Whom the Bell Tolls,3.96
260,زندگی مه آلود پریا,3.97
261,The Guernsey Literary and Potato Peel Pie Society,4.14
262,Catching Fire,4.29
263,The Green Mile,4.43
264,The House of the Spirits,4.21
265,Delirium,3.99
266,The Girl Who Kicked the Hornet's Nest,4.21
267,I Know This Much Is True,4.18
268,White Oleander,3.95
269,The Vampire Lestat,4.06
270,Beautiful Disaster,4.13
271,Paper Towns,3.85
272,Othello,3.88
273,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26
274,The Once and Future King,4.08
275,Flow Down Like Silver: Hypatia of Alexandria,4.44
276,Misery,4.13
277,Into the Wild,3.96
278,King Lear,3.9
279,The Idiot,4.19
280,Speak,4.01
281,Howl's Moving Castle,4.3
282,Cinder,4.15
283,Neverwhere,4.17
284,The Historian,3.78
285,Uncle Tom's Cabin,3.85
286,Invisible Man,3.85
287,James and the Giant Peach,4
288,Inkheart,3.87
289,All Creatures Great and Small,4.32
290,Leaves of Grass,4.12
291,The Thirteenth Tale,3.95
292,Graceling,4.09
293,Candide,3.76
294,The Cider House Rules,4.11
295,Paradise Lost,3.8
296,The Things They Carried,4.12
297,Different Seasons,4.35
298,Where the Red Fern Grows,4.05
299,The Complete Works,4.49
300,"The Complete Sherlock Holmes, Vol 1",4.5
301,Heidi,3.98
302,Foundation,4.15
303,"Are You There God? It's Me, Margaret",3.89
304,Walden,3.8
305,The Awakening,3.64
306,The Time Machine,3.88
307,The Secret History,4.09
308,Sophie's Choice,4.18
309,City of Lost Souls,4.29
310,Sophie's World,3.9
311,Norwegian Wood,4.03
312,The Prince of Tides,4.23
313,The Monster at the End of this Book,4.44
314,Dead Until Dark,3.96
315,Fried Green Tomatoes at the Whistle Stop Cafe,4.27
316,Fifty Shades Darker,3.86
317,Kafka on the Shore,4.13
318,Bridget Jones's Diary,3.76
319,The Wise Man's Fear,4.58
320,Franny and Zooey,3.98
321,The Power of One,4.34
322,Fangirl,4.1
323,Things Fall Apart,3.63
324,The Son of Neptune,4.44
325,Middlemarch,3.94
326,The Diary of a Young Girl,4.12
327,The Magician's Nephew,4.02
328,Gone Girl,4.05
329,Stardust,4.08
330,A Short History of Nearly Everything,4.2
331,Never Let Me Go,3.81
332,Mrs. Dalloway,3.79
333,A Time to Kill,4.05
334,Bel Canto,3.93
335,Gulliver's Travels,3.56
336,The Complete Novels,4.55
337,Cold Mountain,3.84
338,Fifty Shades Freed,3.87
339,The Art of Racing in the Rain,4.2
340,If I Stay,3.95
341,Love You Forever,4.35
342,Number the Stars,4.13
343,Legend,4.18
344,Black Beauty,3.95
345,The Hound of the Baskervilles,4.1
346,Blood River: A Journey to Africa's Broken Heart,4.05
347,Qurʾan / القرآن الكريم,4.34
348,Allegiant,3.63
349,The Witches,4.17
350,A Portrait of the Artist as a Young Man,3.61
351,Eleanor & Park,4.09
352,V for Vendetta,4.25
353,Eldest,3.97
354,The Mark of Athena,4.46
355,The Gunslinger,3.97
356,The Tell-Tale Heart and Other Writings,4.16
357,White Fang,3.96
358,Do Androids Dream of Electric Sheep?,4.08
359,Beautiful Creatures,3.76
360,Dark Lover,4.21
361,A Separate Peace,3.56
362,Beowulf,3.42
363,The Graveyard Book,4.12
364,Go Ask Alice,3.76
365,As I Lay Dying,3.72
366,Mansfield Park,3.85
367,The Amazing Adventures of Kavalier & Clay,4.17
368,Dear John,4.02
369,Tuck Everlasting,3.86
370,"A Child Called ""It""",4.09
371,Brisingr,4.04
372,Crescendo,4.06
373,My Ántonia,3.77
374,Mockingjay,4.03
375,The Last Song,4.14
376,The English Patient,3.88
377,The Complete Maus,4.54
378,Obsidian,4.22
379,Midnight's Children,3.99
380,The Firm,4
381,Stargirl,3.75
382,The Martian Chronicles,4.13
383,Tao Te Ching,4.31
384,The Eye of the World,4.18
385,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3.77
386,Robinson Crusoe,3.66
387,Doctor Zhivago,4.03
388,Like Water for Chocolate,3.94
389,Steppenwolf,4.12
390,Breakfast at Tiffany's,3.89
391,Me Before You,4.26
392,The Amber Spyglass,4.08
393,Ready Player One,4.29
394,'Salem's Lot,4
395,Inferno,3.99
396,Evermore,3.59
397,The Hunchback of Notre-Dame,3.98
398,Cloud Atlas,4.02
399,Shatter Me,3.99
400,The BFG,4.22
401,A Fine Balance,4.35
402,Dragonfly in Amber,4.32
403,The Origin of Species,3.98
404,A Streetcar Named Desire,3.98
405,The Angel Experiment,4.08
406,Room,4.04
407,Death of a Salesman,3.5
408,The Lord of the Rings,4.48
409,The Subtle Knife,4.12
410,Breakfast of Champions,4.08
411,The Final Empire,4.44
412,American Psycho,3.82
413,Snow Flower and the Secret Fan,4.06
414,Midnight in the Garden of Good and Evil,3.91
415,Faust: First Part,3.93
416,The Shipping News,3.85
417,Infinite Jest,4.31
418,The Prince,3.79
419,Anna and the French Kiss,4.04
420,Houdini Heart,4.23
421,The Way of Kings,4.65
422,Daughter of Smoke & Bone,4.03
423,The Scarlet Pimpernel,4.07
424,Hopeless,4.32
425,The Chosen,4.04
426,High Fidelity,3.94
427,Flowers in the Attic,3.8
428,City of Heavenly Fire,4.47
429,The Tales of Beedle the Bard,4.07
430,The Plague,3.98
431,Matched,3.67
432,Nineteen Minutes,4.11
433,The Remains of the Day,4.11
434,"Unbroken: A World War II Story of Survival, Resilience and Redemption",4.38
435,The Reader,3.74
436,Jonathan Strange & Mr Norrell,3.81
437,Betrayed,3.92
438,Wonder,4.45
439,The Virgin Suicides,3.84
440,A Feast for Crows,4.12
441,A Court of Mist and Fury,4.69
442,"Blood Meridian, or the Evening Redness in the West",4.18
443,Artemis Fowl,3.83
444,The Age of Innocence,3.94
445,Untamed,3.95
446,Harry Potter Series Box Set,4.74
447,East of Eden,4.36
448,Pippi Longstocking,4.12
449,Miss Peregrine's Home for Peculiar Children,3.9
450,Neuromancer,3.89
451,The Martian,4.4
452,Redeeming Love,4.49
453,The Strange Case of Dr. Jekyll and Mr. Hyde,3.8
454,The Waste Land,4.1
455,Shantaram,4.27
456,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.99
457,Lover Awakened,4.45
458,Northanger Abbey,3.81
459,The Pearl,3.44
460,Divine Secrets of the Ya-Ya Sisterhood,3.8
461,The Lost Symbol,3.68
462,Waiting for Godot,3.82
463,Chosen,3.91
464,11/22/1963,4.3
465,Dubliners,3.86
466,The Jungle,3.73
467,Me Talk Pretty One Day,3.98
468,The Voyage of the Dawn Treader,4.09
469,Everything Is Illuminated,3.9
470,Snow Falling on Cedars,3.82
471,To the Lighthouse,3.77
472,The Twilight Collection,3.79
473,"I, Claudius",4.27
474,A Room with a View,3.9
475,The House of Hades,4.55
476,I Know Why the Caged Bird Sings,4.21
477,A Dance with Dragons,4.32
478,"I, Robot",4.18
479,Carrie,3.94
480,Hamlet,4.01
481,The Last Battle,4.03
482,Bloodlines,4.21
483,The Iron King,3.91
484,Bleak House,4
485,The Exorcist,4.15
486,The One,4.21
487,Voyager,4.39
488,Torment,3.88
489,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,4
490,Vanity Fair,3.77
491,The God Delusion,3.9
492,The Republic,3.92
493,Johnny Got His Gun,4.17
494,The Complete Poems of Emily Dickinson,4.21
495,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,4.57
496,Crown of Midnight,4.47
497,Of Human Bondage,4.13
498,Snow Crash,4.03
